,val_z54,retire_z54,tes_frozen_z54,retire_force_z54
timetype,seq,seq,seq,seq
endyear,2035,2035,2035,2035
GSw_ZoneSet,z54,z54,z54,z54
GSw_NuclearCapMandate,1,0,1,0
GSw_NuclearCapMandateScen,mckinsey,mckinsey,mckinsey,mckinsey
GSw_NuclearCapMandate_Scale,1,1,1,1
pras,1,0,0,0
GSw_PRM_StressIterateMax,3,0,0,0
GSw_PRM_CapCredit,0,1,1,1
GSw_Retire,5,4,5,4
GSw_NukeNoRetire,1,0,1,0
GSw_RetirePenalty,1,0,1,0
GSw_StorageHybrid,1,1,1,1
GSw_StorageHybrid_Types,1_2_3_4_5_6_7_8,1_2_3_4_5_6_7_8,1_2_3_4_5_6_7_8,1_2_3_4_5_6_7_8
GSw_StorageHybrid_GenTechs,nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear_nuclear_nuclear_nuclear,nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear_nuclear_nuclear_nuclear,nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear_nuclear_nuclear_nuclear,nuclear-smr_nuclear-smr_nuclear-smr_nuclear-smr_nuclear_nuclear_nuclear_nuclear
GSw_StorageHybrid_StorageTechs,tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms,tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms,tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms,tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms_tes-ms
GSw_StorageHybrid_BCR,0.25_0.5_0.75_1.0_0.25_0.5_0.75_1.0,0.25_0.5_0.75_1.0_0.25_0.5_0.75_1.0,0.25_0.5_0.75_1.0_0.25_0.5_0.75_1.0,0.25_0.5_0.75_1.0_0.25_0.5_0.75_1.0
GSw_StorageHybrid_GridCharging,0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0,0.0_0.0_0.0_0.0_0.0_0.0_0.0_0.0
GSw_NuclearLearning,1,1,1,1
GSw_NuclearLearning_TESIsland,1,1,0,1
GSw_NuclearLearning_LR_large,0.0800,0.0800,0.0800,0.0800
GSw_NuclearLearning_LR_smr,0.0950,0.0950,0.0950,0.0950
GSw_NuclearLearning_BOAK_large,5250,5250,5250,5250
GSw_NuclearLearning_BOAK_smr,5500,5500,5500,5500
GSw_NuclearLearning_Vendors,4,4,4,4
GSw_NuclearLearning_Spillover,0.5,0.5,0.5,0.5
GSw_NuclearLearning_Convention,0,0,0,0
GSw_NuclearLearning_CES_rho,0,0,0,0
GSw_NuclearLearning_Dur_Lambda,0.5,0.5,0.5,0.5
GSw_NuclearLearning_ForeignScen,mid,mid,mid,mid
GSw_NuclearDemo,1,1,1,1
plantchar_tes,tes_ATB_2024_moderate,tes_ATB_2024_moderate,tes_ATB_2024_moderate,tes_ATB_2024_moderate_highfom
