,Description,Default Value,main_test_base,main_ctrl_base,main_test_n15,main_ctrl_n15,main_test_n20,main_ctrl_n20,main_test_n25,main_ctrl_n25,main_test_n50,main_ctrl_n50,main_test_noban_base,main_ctrl_noban_base,main_test_noban_n15,main_ctrl_noban_n15,main_test_noban_n20,main_ctrl_noban_n20,main_test_noban_n25,main_ctrl_noban_n25,main_test_noban_n50,main_ctrl_noban_n50,main_gc_base,main_gc_n15,main_gc_n20,main_gc_n25,main_gc_n50,main_gc_noban_base,main_gc_noban_n15,main_gc_noban_n20,main_gc_noban_n25,main_gc_noban_n50,ts_adv_base,ts_adv_n15,ts_adv_n25,ts_adv_n50,ts_th75_base,ts_th75_n15,ts_th75_n25,ts_th75_n50,ts_th50_base,ts_th50_n15,ts_th50_n25,ts_th50_n50,ts_th25_base,ts_th25_n15,ts_th25_n25,ts_th25_n50,ts_gc_adv_n25,ts_gc_th75_n25,ts_gc_th50_n25,ts_gc_th25_n25,mkt_test_refgas_nocap_iralow_base,mkt_ctrl_refgas_nocap_iralow_base,mkt_test_refgas_nocap_iralow_n25,mkt_ctrl_refgas_nocap_iralow_n25,mkt_test_refgas_nocap_highdem_base,mkt_ctrl_refgas_nocap_highdem_base,mkt_test_refgas_nocap_highdem_n25,mkt_ctrl_refgas_nocap_highdem_n25,mkt_test_refgas_cap90_iralow_base,mkt_ctrl_refgas_cap90_iralow_base,mkt_test_refgas_cap90_iralow_n25,mkt_ctrl_refgas_cap90_iralow_n25,mkt_test_refgas_cap90_highdem_base,mkt_ctrl_refgas_cap90_highdem_base,mkt_test_refgas_cap90_highdem_n25,mkt_ctrl_refgas_cap90_highdem_n25,mkt_test_loggas_nocap_iralow_base,mkt_ctrl_loggas_nocap_iralow_base,mkt_test_loggas_nocap_iralow_n25,mkt_ctrl_loggas_nocap_iralow_n25,mkt_test_loggas_nocap_highdem_base,mkt_ctrl_loggas_nocap_highdem_base,mkt_test_loggas_nocap_highdem_n25,mkt_ctrl_loggas_nocap_highdem_n25,mkt_test_loggas_cap90_iralow_base,mkt_ctrl_loggas_cap90_iralow_base,mkt_test_loggas_cap90_iralow_n25,mkt_ctrl_loggas_cap90_iralow_n25,mkt_test_loggas_cap90_highdem_base,mkt_ctrl_loggas_cap90_highdem_base,mkt_test_loggas_cap90_highdem_n25,mkt_ctrl_loggas_cap90_highdem_n25,mkt_test_hoggas_nocap_iralow_base,mkt_ctrl_hoggas_nocap_iralow_base,mkt_test_hoggas_nocap_iralow_n25,mkt_ctrl_hoggas_nocap_iralow_n25,mkt_test_hoggas_nocap_highdem_base,mkt_ctrl_hoggas_nocap_highdem_base,mkt_test_hoggas_nocap_highdem_n25,mkt_ctrl_hoggas_nocap_highdem_n25,mkt_test_hoggas_cap90_iralow_base,mkt_ctrl_hoggas_cap90_iralow_base,mkt_test_hoggas_cap90_iralow_n25,mkt_ctrl_hoggas_cap90_iralow_n25,mkt_test_hoggas_cap90_highdem_base,mkt_ctrl_hoggas_cap90_highdem_base,mkt_test_hoggas_cap90_highdem_n25,mkt_ctrl_hoggas_cap90_highdem_n25,mkt_test_trlim_nocap_iralow_base,mkt_ctrl_trlim_nocap_iralow_base,mkt_test_trlim_nocap_iralow_n25,mkt_ctrl_trlim_nocap_iralow_n25,mkt_test_trlim_nocap_highdem_base,mkt_ctrl_trlim_nocap_highdem_base,mkt_test_trlim_nocap_highdem_n25,mkt_ctrl_trlim_nocap_highdem_n25,mkt_test_trlim_cap90_iralow_base,mkt_ctrl_trlim_cap90_iralow_base,mkt_test_trlim_cap90_iralow_n25,mkt_ctrl_trlim_cap90_iralow_n25,mkt_test_trlim_cap90_highdem_base,mkt_ctrl_trlim_cap90_highdem_base,mkt_test_trlim_cap90_highdem_n25,mkt_ctrl_trlim_cap90_highdem_n25,pol_rpson_obbbaon_ban_base,pol_rpson_obbbaon_noban_base,pol_rpson_obbbaon_ban_n25,pol_rpson_obbbaon_noban_n25,pol_rpson_nobbba_ban_base,pol_rpson_nobbba_noban_base,pol_rpson_nobbba_ban_n25,pol_rpson_nobbba_noban_n25,pol_rpson_obbbaext_ban_base,pol_rpson_obbbaext_noban_base,pol_rpson_obbbaext_ban_n25,pol_rpson_obbbaext_noban_n25,pol_rpsoff_obbbaon_ban_base,pol_rpsoff_obbbaon_noban_base,pol_rpsoff_obbbaon_ban_n25,pol_rpsoff_obbbaon_noban_n25,pol_rpsoff_nobbba_ban_base,pol_rpsoff_nobbba_noban_base,pol_rpsoff_nobbba_ban_n25,pol_rpsoff_nobbba_noban_n25,pol_rpsoff_obbbaext_ban_base,pol_rpsoff_obbbaext_noban_base,pol_rpsoff_obbbaext_ban_n25,pol_rpsoff_obbbaext_noban_n25
ignore,"0=run this case, 1=ignore this case",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
timetype,Sequential or Intertemporal,seq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantchar_tes,,tes_ATB_2024_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tes_ATB_2024_advanced,tes_ATB_2024_advanced,tes_ATB_2024_advanced,tes_ATB_2024_advanced,tes_threshold_75pct,tes_threshold_75pct,tes_threshold_75pct,tes_threshold_75pct,tes_threshold_50pct,tes_threshold_50pct,tes_threshold_50pct,tes_threshold_50pct,tes_threshold_25pct,tes_threshold_25pct,tes_threshold_25pct,tes_threshold_25pct,tes_ATB_2024_advanced,tes_threshold_75pct,tes_threshold_50pct,tes_threshold_25pct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plantchar_nuclear_smr,,nuclear-smr_ATB_2024_moderate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_Nuclear,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_Types,,1_2_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_StorageTechs,,tes-ms_tes-ms_tes-ms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_GenTechs,,nuclear-smr_nuclear-smr_nuclear-smr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_BCR,,0.45_0.5_0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearStor_GridCharging,,0.0_0.0_0.0,,,,,,,,,,,,,,,,,,,,,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,,,,,,,,,,,,,,,,,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,0.0_0.5_1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSw_NuclearDemo,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
