i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
flex_geo_high,2010,0,0,0,0,0,0.85
flex_geo_high,2011,0,0,0,0,0,0.85
flex_geo_high,2012,0,0,0,0,0,0.85
flex_geo_high,2013,0,0,0,0,0,0.85
flex_geo_high,2014,0,0,0,0,0,0.85
flex_geo_high,2015,0,0,0,0,0,0.85
flex_geo_high,2016,0,0,0,0,0,0.85
flex_geo_high,2017,0,0,0,0,0,0.85
flex_geo_high,2018,0,0,0,0,0,0.85
flex_geo_high,2019,0,0,0,0,0,0.85
flex_geo_high,2020,0,0,0,0,0,0.85
flex_geo_high,2021,0,0,0,0,0,0.85
flex_geo_high,2022,0,0,0,0,0,0.85
flex_geo_high,2023,0,0,0,0,0,0.85
flex_geo_high,2024,0,0,0,0,0,0.85
flex_geo_high,2025,0,0,0,0,0,0.85
flex_geo_high,2026,0,0,0,0,0,0.85
flex_geo_high,2027,0,0,0,0,0,0.85
flex_geo_high,2028,0,0,0,0,0,0.85
flex_geo_high,2029,0,0,0,0,0,0.85
flex_geo_high,2030,0,0,0,0,0,0.85
flex_geo_high,2031,0,0,0,0,0,0.85
flex_geo_high,2032,0,0,0,0,0,0.85
flex_geo_high,2033,0,0,0,0,0,0.85
flex_geo_high,2034,0,0,0,0,0,0.85
flex_geo_high,2035,0,0,0,0,0,0.85
flex_geo_high,2036,0,0,0,0,0,0.85
flex_geo_high,2037,0,0,0,0,0,0.85
flex_geo_high,2038,0,0,0,0,0,0.85
flex_geo_high,2039,0,0,0,0,0,0.85
flex_geo_high,2040,0,0,0,0,0,0.85
flex_geo_high,2041,0,0,0,0,0,0.85
flex_geo_high,2042,0,0,0,0,0,0.85
flex_geo_high,2043,0,0,0,0,0,0.85
flex_geo_high,2044,0,0,0,0,0,0.85
flex_geo_high,2045,0,0,0,0,0,0.85
flex_geo_high,2046,0,0,0,0,0,0.85
flex_geo_high,2047,0,0,0,0,0,0.85
flex_geo_high,2048,0,0,0,0,0,0.85
flex_geo_high,2049,0,0,0,0,0,0.85
flex_geo_high,2050,0,0,0,0,0,0.85
flex_geo_med,2010,0,0,0,0,0,0.75
flex_geo_med,2011,0,0,0,0,0,0.75
flex_geo_med,2012,0,0,0,0,0,0.75
flex_geo_med,2013,0,0,0,0,0,0.75
flex_geo_med,2014,0,0,0,0,0,0.75
flex_geo_med,2015,0,0,0,0,0,0.75
flex_geo_med,2016,0,0,0,0,0,0.75
flex_geo_med,2017,0,0,0,0,0,0.75
flex_geo_med,2018,0,0,0,0,0,0.75
flex_geo_med,2019,0,0,0,0,0,0.75
flex_geo_med,2020,0,0,0,0,0,0.75
flex_geo_med,2021,0,0,0,0,0,0.75
flex_geo_med,2022,0,0,0,0,0,0.75
flex_geo_med,2023,0,0,0,0,0,0.75
flex_geo_med,2024,0,0,0,0,0,0.75
flex_geo_med,2025,0,0,0,0,0,0.75
flex_geo_med,2026,0,0,0,0,0,0.75
flex_geo_med,2027,0,0,0,0,0,0.75
flex_geo_med,2028,0,0,0,0,0,0.75
flex_geo_med,2029,0,0,0,0,0,0.75
flex_geo_med,2030,0,0,0,0,0,0.75
flex_geo_med,2031,0,0,0,0,0,0.75
flex_geo_med,2032,0,0,0,0,0,0.75
flex_geo_med,2033,0,0,0,0,0,0.75
flex_geo_med,2034,0,0,0,0,0,0.75
flex_geo_med,2035,0,0,0,0,0,0.75
flex_geo_med,2036,0,0,0,0,0,0.75
flex_geo_med,2037,0,0,0,0,0,0.75
flex_geo_med,2038,0,0,0,0,0,0.75
flex_geo_med,2039,0,0,0,0,0,0.75
flex_geo_med,2040,0,0,0,0,0,0.75
flex_geo_med,2041,0,0,0,0,0,0.75
flex_geo_med,2042,0,0,0,0,0,0.75
flex_geo_med,2043,0,0,0,0,0,0.75
flex_geo_med,2044,0,0,0,0,0,0.75
flex_geo_med,2045,0,0,0,0,0,0.75
flex_geo_med,2046,0,0,0,0,0,0.75
flex_geo_med,2047,0,0,0,0,0,0.75
flex_geo_med,2048,0,0,0,0,0,0.75
flex_geo_med,2049,0,0,0,0,0,0.75
flex_geo_med,2050,0,0,0,0,0,0.75
flex_geo_low,2010,0,0,0,0,0,0.65
flex_geo_low,2011,0,0,0,0,0,0.65
flex_geo_low,2012,0,0,0,0,0,0.65
flex_geo_low,2013,0,0,0,0,0,0.65
flex_geo_low,2014,0,0,0,0,0,0.65
flex_geo_low,2015,0,0,0,0,0,0.65
flex_geo_low,2016,0,0,0,0,0,0.65
flex_geo_low,2017,0,0,0,0,0,0.65
flex_geo_low,2018,0,0,0,0,0,0.65
flex_geo_low,2019,0,0,0,0,0,0.65
flex_geo_low,2020,0,0,0,0,0,0.65
flex_geo_low,2021,0,0,0,0,0,0.65
flex_geo_low,2022,0,0,0,0,0,0.65
flex_geo_low,2023,0,0,0,0,0,0.65
flex_geo_low,2024,0,0,0,0,0,0.65
flex_geo_low,2025,0,0,0,0,0,0.65
flex_geo_low,2026,0,0,0,0,0,0.65
flex_geo_low,2027,0,0,0,0,0,0.65
flex_geo_low,2028,0,0,0,0,0,0.65
flex_geo_low,2029,0,0,0,0,0,0.65
flex_geo_low,2030,0,0,0,0,0,0.65
flex_geo_low,2031,0,0,0,0,0,0.65
flex_geo_low,2032,0,0,0,0,0,0.65
flex_geo_low,2033,0,0,0,0,0,0.65
flex_geo_low,2034,0,0,0,0,0,0.65
flex_geo_low,2035,0,0,0,0,0,0.65
flex_geo_low,2036,0,0,0,0,0,0.65
flex_geo_low,2037,0,0,0,0,0,0.65
flex_geo_low,2038,0,0,0,0,0,0.65
flex_geo_low,2039,0,0,0,0,0,0.65
flex_geo_low,2040,0,0,0,0,0,0.65
flex_geo_low,2041,0,0,0,0,0,0.65
flex_geo_low,2042,0,0,0,0,0,0.65
flex_geo_low,2043,0,0,0,0,0,0.65
flex_geo_low,2044,0,0,0,0,0,0.65
flex_geo_low,2045,0,0,0,0,0,0.65
flex_geo_low,2046,0,0,0,0,0,0.65
flex_geo_low,2047,0,0,0,0,0,0.65
flex_geo_low,2048,0,0,0,0,0,0.65
flex_geo_low,2049,0,0,0,0,0,0.65
flex_geo_low,2050,0,0,0,0,0,0.65
