i,t,capcost,fom,vom
tes_ms,2010,104.0,0,0
tes_ms,2011,104.0,0,0
tes_ms,2012,104.0,0,0
tes_ms,2013,104.0,0,0
tes_ms,2014,104.0,0,0
tes_ms,2015,104.0,0,0
tes_ms,2016,104.0,0,0
tes_ms,2017,104.0,0,0
tes_ms,2018,104.0,0,0
tes_ms,2019,104.0,0,0
tes_ms,2020,104.0,0,0
tes_ms,2021,104.0,0,0
tes_ms,2022,104.0,0,0
tes_ms,2023,104.0,0,0
tes_ms,2024,104.0,0,0
tes_ms,2025,104.0,0,0
tes_ms,2026,104.0,0,0
tes_ms,2027,104.0,0,0
tes_ms,2028,104.0,0,0
tes_ms,2029,104.0,0,0
tes_ms,2030,104.0,0,0
tes_ms,2031,104.0,0,0
tes_ms,2032,104.0,0,0
tes_ms,2033,104.0,0,0
tes_ms,2034,104.0,0,0
tes_ms,2035,104.0,0,0
tes_ms,2036,104.0,0,0
tes_ms,2037,104.0,0,0
tes_ms,2038,104.0,0,0
tes_ms,2039,104.0,0,0
tes_ms,2040,104.0,0,0
tes_ms,2041,104.0,0,0
tes_ms,2042,104.0,0,0
tes_ms,2043,104.0,0,0
tes_ms,2044,104.0,0,0
tes_ms,2045,104.0,0,0
tes_ms,2046,104.0,0,0
tes_ms,2047,104.0,0,0
tes_ms,2048,104.0,0,0
tes_ms,2049,104.0,0,0
tes_ms,2050,104.0,0,0
