i,t,capcost,capcost_energy,fom,fom_energy,vom,rte
tes_ms,2010,2500,79.57559682,3125,99.469496,4.1,0.377
tes_ms,2011,2500,79.15567282,3125,98.94459105,4.1,0.379
tes_ms,2012,2500,78.74015748,3125,98.42519685,4.1,0.381
tes_ms,2013,2500,78.32898172,3125,97.91122715,4.1,0.383
tes_ms,2014,2500,77.92207792,3125,97.4025974,4.1,0.385
tes_ms,2015,2500,77.51937984,3125,96.8992248,4.1,0.387
tes_ms,2016,2500,77.12082262,3125,96.4010283,4.1,0.389
tes_ms,2017,2500,76.72634271,3125,95.9079284,4.1,0.391
tes_ms,2018,2500,76.33587786,3125,95.41984735,4.1,0.393
tes_ms,2019,2500,75.94936709,3125,94.93670885,4.1,0.395
tes_ms,2020,2500,73.29957806,3125,91.62447255,4,0.397
tes_ms,2021,2500,70.64978903,3125,88.3122363,4,0.4045
tes_ms,2022,2191.110913,68,2738.888641,85,4,0.412
tes_ms,2023,2095.246524,65.025,2619.058155,81.28125,3.8,0.41925
tes_ms,2024,1999.382135,62.04979602,2499.227669,77.56224505,3.7,0.4265
tes_ms,2025,1903.517746,59.07469403,2379.397183,73.84336755,3.6,0.43375
tes_ms,2026,1807.653358,56.09959205,2259.566697,70.12449005,3.4,0.441
tes_ms,2027,1711.788969,53.12449006,2139.7362115,66.40561255,3.3,0.44825
tes_ms,2028,1615.92458,50.14938807,2019.9057255,62.6867351,3.2,0.4555
tes_ms,2029,1520.060192,47.17428608,1900.0752395,58.9678576,3,0.46275
tes_ms,2030,1424.195803,44.19918409,1780.2447535,55.2489801,2.9,0.47
tes_ms,2031,1414.022976,43.88347563,1767.5287195,54.85434455,2.9,0.47
tes_ms,2032,1403.850149,43.56776718,1754.8126855,54.45970895,2.9,0.47
tes_ms,2033,1393.677321,43.25205872,1742.0966515,54.0650734,2.9,0.47
tes_ms,2034,1383.504494,42.93635026,1729.3806175,53.67043785,2.9,0.47
tes_ms,2035,1373.331667,42.6206418,1716.664584,53.27580225,2.9,0.47
tes_ms,2036,1363.15884,42.30493334,1703.94855,52.8811667,2.9,0.47
tes_ms,2037,1352.986013,41.98922489,1691.232516,52.4865311,2.9,0.47
tes_ms,2038,1342.813186,41.67351643,1678.516482,52.09189555,2.9,0.47
tes_ms,2039,1332.640358,41.35780797,1665.800448,51.69725995,2.9,0.47
tes_ms,2040,1322.467531,41.04209951,1653.084414,51.3026244,2.9,0.47
tes_ms,2041,1312.294704,40.72639106,1640.36838,50.9079888,2.9,0.47
tes_ms,2042,1302.121877,40.4106826,1627.652346,50.51335325,2.9,0.47
tes_ms,2043,1291.94905,40.09497414,1614.936312,50.1187177,2.9,0.47
tes_ms,2044,1281.776223,39.77926568,1602.220278,49.7240821,2.9,0.47
tes_ms,2045,1271.603395,39.46355722,1589.504244,49.32944655,2.9,0.47
tes_ms,2046,1261.430568,39.14784877,1576.7882105,48.93481095,2.9,0.47
tes_ms,2047,1251.257741,38.83214031,1564.0721765,48.5401754,2.9,0.47
tes_ms,2048,1241.084914,38.51643185,1551.3561425,48.1455398,2.9,0.47
tes_ms,2049,1230.912087,38.20072339,1538.6401085,47.75090425,2.9,0.47
tes_ms,2050,1220.73926,37.88501494,1525.9240745,47.35626865,2.9,0.47
