sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
37804,8,131.01,0,0.9945,161.0
37805,8,60.01,0,0.9944,156.0
37806,8,50.74,0,0.9945,159.0
37807,7,53.25,0,0.9946,177.0
37808,7,10.98,0,0.9947,186.0
38488,8,116.75,0,0.9946,168.0
38489,8,95.17,0,0.9946,167.0
38490,8,132.15,0,0.9946,168.0
38491,8,208.77,0,0.9946,168.0
38492,9,21.53,0,0.9941,146.0
39158,8,205.42,0,0.9946,169.0
39173,8,150.24,0,0.9946,168.0
39174,8,210.56,0,0.9946,170.0
39175,8,105.37,0,0.9946,174.0
39176,8,24.13,0,0.9946,173.0
39180,8,0.1,0,0.9945,164.0
39181,7,0.09,0,0.9948,184.0
39182,8,0.32,0,0.9945,165.0
39183,8,0.16,0,0.9947,175.0
39842,8,387.1,0,0.9946,175.0
39843,8,265.59,0,0.9946,171.0
39857,8,182.21,0,0.9945,161.0
39858,8,161.02,0,0.9946,172.0
39859,7,91.09,0,0.9946,176.0
39867,8,0.03,0,0.9947,175.0
39868,7,0.21,0,0.9947,177.0
39869,7,0.05,0,0.9948,185.0
39870,7,0.18,0,0.9947,181.0
39871,7,0.13,0,0.9948,193.0
40525,8,36.99,0,0.9945,165.0
40526,8,430.16,0,0.9946,171.0
40527,8,312.32,0,0.9946,174.0
40528,8,252.58,0,0.9946,168.0
40539,6,63.04,0,0.9948,201.0
40540,8,41.16,0,0.9945,161.0
40541,8,204.11,0,0.9945,164.0
40542,8,60.76,0,0.9945,165.0
40543,8,72.14,0,0.9946,171.0
40544,9,4.9,0,0.994,135.0
40545,7,20.76,0,0.9947,190.0
40555,7,0.04,0,0.9948,187.0
40556,7,0.09,0,0.9948,194.0
40557,7,0.09,0,0.9948,187.0
40558,7,0.25,0,0.9946,181.0
41209,7,388.82,0,0.9948,199.0
41210,8,419.99,0,0.9945,166.0
41211,8,329.14,0,0.9946,173.0
41212,7,190.68,0,0.9946,176.0
41213,8,140.74,0,0.9945,167.0
41214,8,201.43,0,0.9946,174.0
41224,8,74.44,0,0.9945,165.0
41225,8,86.67,0,0.9946,169.0
41226,8,89.77,0,0.9946,172.0
41227,7,156.11,0,0.9947,179.0
41228,7,158.63,0,0.9946,179.0
41229,7,74.86,0,0.9947,179.0
41230,7,0.16,0,0.9948,185.0
41231,7,1.08,0,0.9946,176.0
41236,7,0.73,0,0.9947,177.0
41241,7,13.19,0,0.9947,181.0
41242,9,4.78,0,0.9939,132.0
41243,7,165.18,0,0.9948,196.0
41244,8,76.18,0,0.9945,164.0
41245,7,219.1,0,0.9948,188.0
41246,7,89.62,0,0.9948,186.0
41893,8,135.66,0,0.9945,162.0
41894,7,608.34,0,0.9948,198.0
41895,8,124.61,0,0.9945,165.0
41896,8,36.12,0,0.9946,173.0
41897,7,14.43,0,0.9947,177.0
41898,7,15.23,0,0.9947,192.0
41899,8,72.63,0,0.9946,173.0
41900,7,193.54,0,0.9947,177.0
41906,8,114.87,0,0.9946,170.0
41907,8,84.78,0,0.9946,168.0
41908,8,46.92,0,0.9946,168.0
41909,8,230.18,0,0.9945,165.0
41910,7,356.98,0,0.9947,184.0
41911,8,69.76,0,0.9944,158.0
41912,8,11.13,0,0.9945,160.0
41913,8,80.39,0,0.9946,169.0
41914,8,34.64,0,0.9946,171.0
41915,7,3.12,0,0.9947,180.0
41921,7,0.25,0,0.9948,188.0
41925,7,255.05,0,0.9947,181.0
41926,7,78.94,0,0.9948,185.0
41927,7,203.96,0,0.9948,189.0
41928,8,103.08,0,0.9945,163.0
41929,7,334.72,0,0.9948,186.0
41930,7,428.62,0,0.9948,188.0
41931,8,68.77,0,0.9945,163.0
41932,8,67.76,0,0.9945,163.0
41933,7,64.87,0,0.9947,178.0
41934,7,43.95,0,0.9948,190.0
41935,7,0.19,0,0.9947,181.0
42578,7,555.67,0,0.9948,199.0
42579,8,261.82,0,0.9945,165.0
42580,8,16.48,0,0.9946,173.0
42581,7,0.04,0,0.9948,193.0
42584,7,4.13,0,0.9947,181.0
42585,7,158.04,0,0.9947,185.0
42586,7,378.76,0,0.9947,188.0
42587,7,126.58,0,0.9947,184.0
42590,8,83.75,0,0.9946,168.0
42591,8,83.78,0,0.9945,163.0
42592,8,75.87,0,0.9945,163.0
42593,8,230.69,0,0.9944,158.0
42594,7,317.63,0,0.9948,188.0
42595,8,190.94,0,0.9945,161.0
42596,7,11.75,0,0.9947,182.0
42597,8,59.71,0,0.9945,167.0
42598,7,13.14,0,0.9947,181.0
42605,8,8.25,0,0.9946,168.0
42606,7,5.81,0,0.9948,188.0
42607,7,17.28,0,0.9948,192.0
42608,8,0.09,0,0.9947,174.0
42609,7,95.83,0,0.9947,180.0
42610,7,109.23,0,0.9947,182.0
42611,7,474.74,0,0.9948,191.0
42612,8,259.04,0,0.9945,160.0
42613,7,280.03,0,0.9947,184.0
42614,7,128.81,0,0.9947,184.0
42615,8,100.08,0,0.9945,159.0
42616,7,63.02,0,0.9948,187.0
