t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1384.29043,From ReEDS case Carbcap100
2036,p19009,Nuclear,nuclear_r_fsu,r,fsu,26.580583,From ReEDS case Carbcap100
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,768.311017,From ReEDS case Carbcap100
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,2418.190069,From ReEDS case Carbcap100
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,940.649541,From ReEDS case Carbcap100
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1378.046589,From ReEDS case Carbcap100
2036,p49001,Nuclear,nuclear_r_fsu,r,fsu,456.374843,From ReEDS case Carbcap100
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,444.23075,From ReEDS case Carbcap100
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,1457.608171,From ReEDS case Carbcap100
2039,p4015,Nuclear,nuclear_r_fsu,r,fsu,271.806576,From ReEDS case Carbcap100
2042,p4015,Nuclear,nuclear_r_fsu,r,fsu,2527.310689,From ReEDS case Carbcap100
2042,p12005,Nuclear,nuclear_r_fsu,r,fsu,11968.852455,From ReEDS case Carbcap100
2042,p13001,Nuclear,nuclear_r_fsu,r,fsu,1872.684363,From ReEDS case Carbcap100
2042,p38001,Nuclear,nuclear_r_fsu,r,fsu,238.136019,From ReEDS case Carbcap100
2039,p32001,Nuclear,nuclear_r_fsu,r,fsu,178.345409,From ReEDS case Carbcap100
2042,p32001,Nuclear,nuclear_r_fsu,r,fsu,1070.511534,From ReEDS case Carbcap100
2039,p36001,Nuclear,nuclear_r_fsu,r,fsu,474.074816,From ReEDS case Carbcap100
2042,p36001,Nuclear,nuclear_r_fsu,r,fsu,744.966115,From ReEDS case Carbcap100
2042,p49001,Nuclear,nuclear_r_fsu,r,fsu,813.200465,From ReEDS case Carbcap100
2042,p51003,Nuclear,nuclear_r_fsu,r,fsu,106.034252,From ReEDS case Carbcap100
2042,p55003,Nuclear,nuclear_r_fsu,r,fsu,32.814896,From ReEDS case Carbcap100
2045,p1007,Nuclear,nuclear_r_fsu,r,fsu,285.533019,From ReEDS case Carbcap100
2045,p4015,Nuclear,nuclear_r_fsu,r,fsu,2404.873815,From ReEDS case Carbcap100
2048,p8001,Nuclear,nuclear_r_fsu,r,fsu,198.349363,From ReEDS case Carbcap100
2045,p12005,Nuclear,nuclear_r_fsu,r,fsu,4219.998436,From ReEDS case Carbcap100
2048,p12005,Nuclear,nuclear_r_fsu,r,fsu,872.790041,From ReEDS case Carbcap100
2045,p13001,Nuclear,nuclear_r_fsu,r,fsu,1268.28971,From ReEDS case Carbcap100
2048,p13001,Nuclear,nuclear_r_fsu,r,fsu,2545.474228,From ReEDS case Carbcap100
2045,p19009,Nuclear,nuclear_r_fsu,r,fsu,130.716549,From ReEDS case Carbcap100
2048,p19009,Nuclear,nuclear_r_fsu,r,fsu,2300.617622,From ReEDS case Carbcap100
2048,p17001,Nuclear,nuclear_r_fsu,r,fsu,109.376952,From ReEDS case Carbcap100
2045,p17007,Nuclear,nuclear_r_fsu,r,fsu,1016.978872,From ReEDS case Carbcap100
2048,p17007,Nuclear,nuclear_r_fsu,r,fsu,28.344374,From ReEDS case Carbcap100
2048,p18001,Nuclear,nuclear_r_fsu,r,fsu,2942.756602,From ReEDS case Carbcap100
2045,p21003,Nuclear,nuclear_r_fsu,r,fsu,961.423851,From ReEDS case Carbcap100
2045,p22001,Nuclear,nuclear_r_fsu,r,fsu,43.53102,From ReEDS case Carbcap100
2048,p22001,Nuclear,nuclear_r_fsu,r,fsu,115.851592,From ReEDS case Carbcap100
2048,p29003,Nuclear,nuclear_r_fsu,r,fsu,220.594059,From ReEDS case Carbcap100
2048,p37003,Nuclear,nuclear_r_fsu,r,fsu,3970.381993,From ReEDS case Carbcap100
2045,p38001,Nuclear,nuclear_r_fsu,r,fsu,377.507716,From ReEDS case Carbcap100
2048,p38001,Nuclear,nuclear_r_fsu,r,fsu,1734.1333,From ReEDS case Carbcap100
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,1296.49102,From ReEDS case Carbcap100
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,397.129642,From ReEDS case Carbcap100
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,1579.824797,From ReEDS case Carbcap100
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,1318.413409,From ReEDS case Carbcap100
2048,p45001,Nuclear,nuclear_r_fsu,r,fsu,650.677133,From ReEDS case Carbcap100
2048,p47001,Nuclear,nuclear_r_fsu,r,fsu,3139.426882,From ReEDS case Carbcap100
2045,p48001,Nuclear,nuclear_r_fsu,r,fsu,7247.830466,From ReEDS case Carbcap100
2048,p48001,Nuclear,nuclear_r_fsu,r,fsu,9282.399964,From ReEDS case Carbcap100
2045,p48037,Nuclear,nuclear_r_fsu,r,fsu,1252.059907,From ReEDS case Carbcap100
2045,p49001,Nuclear,nuclear_r_fsu,r,fsu,442.289295,From ReEDS case Carbcap100
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,6348.004407,From ReEDS case Carbcap100
2045,p55003,Nuclear,nuclear_r_fsu,r,fsu,157.307418,From ReEDS case Carbcap100
2048,p55003,Nuclear,nuclear_r_fsu,r,fsu,2565.619746,From ReEDS case Carbcap100
