t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p8001,Nuclear,nuclear_r_fsu,r,fsu,141.900862,From ReEDS case Carbtax100
2033,p12005,Nuclear,nuclear_r_fsu,r,fsu,79.025788,From ReEDS case Carbtax100
2033,p19009,Nuclear,nuclear_r_fsu,r,fsu,788.030506,From ReEDS case Carbtax100
2033,p17007,Nuclear,nuclear_r_fsu,r,fsu,1195.284808,From ReEDS case Carbtax100
2033,p18001,Nuclear,nuclear_r_fsu,r,fsu,1447.940161,From ReEDS case Carbtax100
2033,p33001,Nuclear,nuclear_r_fsu,r,fsu,49.271382,From ReEDS case Carbtax100
2033,p32001,Nuclear,nuclear_r_fsu,r,fsu,1203.438838,From ReEDS case Carbtax100
2030,p55003,Nuclear,nuclear_r_fsu,r,fsu,691.827392,From ReEDS case Carbtax100
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1340.632849,From ReEDS case Carbtax100
2036,p4015,Nuclear,nuclear_r_fsu,r,fsu,178.339118,From ReEDS case Carbtax100
2036,p8001,Nuclear,nuclear_r_fsu,r,fsu,582.92346,From ReEDS case Carbtax100
2036,p12005,Nuclear,nuclear_r_fsu,r,fsu,3947.920342,From ReEDS case Carbtax100
2036,p13001,Nuclear,nuclear_r_fsu,r,fsu,1791.847554,From ReEDS case Carbtax100
2036,p19009,Nuclear,nuclear_r_fsu,r,fsu,459.624966,From ReEDS case Carbtax100
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,54.565835,From ReEDS case Carbtax100
2036,p17001,Nuclear,nuclear_r_fsu,r,fsu,246.795811,From ReEDS case Carbtax100
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,625.886156,From ReEDS case Carbtax100
2036,p18001,Nuclear,nuclear_r_fsu,r,fsu,1195.419797,From ReEDS case Carbtax100
2036,p21003,Nuclear,nuclear_r_fsu,r,fsu,575.832575,From ReEDS case Carbtax100
2036,p38001,Nuclear,nuclear_r_fsu,r,fsu,212.948933,From ReEDS case Carbtax100
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,1646.94085,From ReEDS case Carbtax100
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1798.502542,From ReEDS case Carbtax100
2036,p47001,Nuclear,nuclear_r_fsu,r,fsu,498.044538,From ReEDS case Carbtax100
2036,p48001,Nuclear,nuclear_r_fsu,r,fsu,974.662562,From ReEDS case Carbtax100
2036,p49001,Nuclear,nuclear_r_fsu,r,fsu,1181.62261,From ReEDS case Carbtax100
2036,p51003,Nuclear,nuclear_r_fsu,r,fsu,387.487431,From ReEDS case Carbtax100
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,428.947369,From ReEDS case Carbtax100
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,1011.061524,From ReEDS case Carbtax100
2039,p4015,Nuclear,nuclear_r_fsu,r,fsu,754.875518,From ReEDS case Carbtax100
2042,p4015,Nuclear,nuclear_r_fsu,r,fsu,898.553413,From ReEDS case Carbtax100
2042,p12005,Nuclear,nuclear_r_fsu,r,fsu,3751.626998,From ReEDS case Carbtax100
2042,p13001,Nuclear,nuclear_r_fsu,r,fsu,1336.765094,From ReEDS case Carbtax100
2042,p24001,Nuclear,nuclear_r_fsu,r,fsu,391.96166,From ReEDS case Carbtax100
2042,p38001,Nuclear,nuclear_r_fsu,r,fsu,433.948041,From ReEDS case Carbtax100
2039,p32001,Nuclear,nuclear_r_fsu,r,fsu,289.925155,From ReEDS case Carbtax100
2042,p32001,Nuclear,nuclear_r_fsu,r,fsu,637.572785,From ReEDS case Carbtax100
2042,p36001,Nuclear,nuclear_r_fsu,r,fsu,2288.187158,From ReEDS case Carbtax100
2042,p47001,Nuclear,nuclear_r_fsu,r,fsu,1063.83798,From ReEDS case Carbtax100
2042,p49001,Nuclear,nuclear_r_fsu,r,fsu,682.365235,From ReEDS case Carbtax100
2042,p51003,Nuclear,nuclear_r_fsu,r,fsu,515.402985,From ReEDS case Carbtax100
2042,p55003,Nuclear,nuclear_r_fsu,r,fsu,978.943993,From ReEDS case Carbtax100
2045,p4015,Nuclear,nuclear_r_fsu,r,fsu,817.670538,From ReEDS case Carbtax100
2048,p4015,Nuclear,nuclear_r_fsu,r,fsu,1323.740218,From ReEDS case Carbtax100
2045,p12005,Nuclear,nuclear_r_fsu,r,fsu,2709.537439,From ReEDS case Carbtax100
2048,p12005,Nuclear,nuclear_r_fsu,r,fsu,686.825729,From ReEDS case Carbtax100
2048,p13001,Nuclear,nuclear_r_fsu,r,fsu,1571.127276,From ReEDS case Carbtax100
2048,p19009,Nuclear,nuclear_r_fsu,r,fsu,850.740735,From ReEDS case Carbtax100
2045,p17007,Nuclear,nuclear_r_fsu,r,fsu,1077.840269,From ReEDS case Carbtax100
2048,p17007,Nuclear,nuclear_r_fsu,r,fsu,769.026786,From ReEDS case Carbtax100
2045,p37003,Nuclear,nuclear_r_fsu,r,fsu,22.634678,From ReEDS case Carbtax100
2048,p37003,Nuclear,nuclear_r_fsu,r,fsu,1969.373694,From ReEDS case Carbtax100
2045,p38001,Nuclear,nuclear_r_fsu,r,fsu,468.37595,From ReEDS case Carbtax100
2048,p38001,Nuclear,nuclear_r_fsu,r,fsu,724.958701,From ReEDS case Carbtax100
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,798.284323,From ReEDS case Carbtax100
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,658.796912,From ReEDS case Carbtax100
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,1283.775192,From ReEDS case Carbtax100
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,2258.692711,From ReEDS case Carbtax100
2048,p47001,Nuclear,nuclear_r_fsu,r,fsu,2313.402521,From ReEDS case Carbtax100
2045,p48001,Nuclear,nuclear_r_fsu,r,fsu,6625.999362,From ReEDS case Carbtax100
2048,p48037,Nuclear,nuclear_r_fsu,r,fsu,90.515624,From ReEDS case Carbtax100
2045,p49001,Nuclear,nuclear_r_fsu,r,fsu,258.612744,From ReEDS case Carbtax100
2048,p49001,Nuclear,nuclear_r_fsu,r,fsu,242.293491,From ReEDS case Carbtax100
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,5463.318116,From ReEDS case Carbtax100
2048,p51003,Nuclear,nuclear_r_fsu,r,fsu,1690.410293,From ReEDS case Carbtax100
2045,p55003,Nuclear,nuclear_r_fsu,r,fsu,193.708131,From ReEDS case Carbtax100
2048,p55003,Nuclear,nuclear_r_fsu,r,fsu,491.34786,From ReEDS case Carbtax100
