t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.951008,From ReEDS case nuclearCCS_60
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.670591,From ReEDS case nuclearCCS_60
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.757967,From ReEDS case nuclearCCS_60
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061472,From ReEDS case nuclearCCS_60
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517218,From ReEDS case nuclearCCS_60
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.433952,From ReEDS case nuclearCCS_60
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.485873,From ReEDS case nuclearCCS_60
2045,p10001,Nuclear,nuclear_r_fsu,r,fsu,55.152326,From ReEDS case nuclearCCS_60
2048,p10001,Nuclear,nuclear_r_fsu,r,fsu,373.337591,From ReEDS case nuclearCCS_60
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,151.833986,From ReEDS case nuclearCCS_60
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,508.532195,From ReEDS case nuclearCCS_60
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,895.659084,From ReEDS case nuclearCCS_60
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,1334.472045,From ReEDS case nuclearCCS_60
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,2138.994964,From ReEDS case nuclearCCS_60
