t,r,i,coolingwatertech,ctt,wst,value,notes
2033,p56023,nuclear-stor1,nuclear-stor1_r_fsu,r,fsu,345.0,"TerraPower Natrium project; online date from Pacificorp 2025 IRP (https://www.pacificorp.com/content/dam/pcorp/documents/en/pacificorp/energy/integrated-resource-plan/2025-irp/2025_IRP_Vol_1_Utah.pdf, page 147)"
2030,p48057,nuclear-SMR,nuclear-SMR_r_fsu,r,fsu,320.0,Dow and X-energy project; site moved from WA to TX in 2023; details from https://x-energy.com/seadrift
2033,p55003,Nuclear,nuclear_r_fsu,r,fsu,1357.952387,From ReEDS case solar_20
2036,p16009,Nuclear,nuclear_r_fsu,r,fsu,1096.673574,From ReEDS case solar_20
2036,p17007,Nuclear,nuclear_r_fsu,r,fsu,1933.757209,From ReEDS case solar_20
2036,p32001,Nuclear,nuclear_r_fsu,r,fsu,898.061494,From ReEDS case solar_20
2036,p36001,Nuclear,nuclear_r_fsu,r,fsu,1371.517105,From ReEDS case solar_20
2036,p53007,Nuclear,nuclear_r_fsu,r,fsu,306.440361,From ReEDS case solar_20
2036,p55003,Nuclear,nuclear_r_fsu,r,fsu,196.484717,From ReEDS case solar_20
2045,p10001,Nuclear,nuclear_r_fsu,r,fsu,55.151862,From ReEDS case solar_20
2048,p10001,Nuclear,nuclear_r_fsu,r,fsu,373.338705,From ReEDS case solar_20
2045,p32001,Nuclear,nuclear_r_fsu,r,fsu,151.878674,From ReEDS case solar_20
2048,p32001,Nuclear,nuclear_r_fsu,r,fsu,508.410766,From ReEDS case solar_20
2045,p36001,Nuclear,nuclear_r_fsu,r,fsu,895.661087,From ReEDS case solar_20
2048,p36001,Nuclear,nuclear_r_fsu,r,fsu,1334.465106,From ReEDS case solar_20
2045,p51003,Nuclear,nuclear_r_fsu,r,fsu,2139.034556,From ReEDS case solar_20
