i,ctt,fraction
Hydro,n,1.0
gas-CT,n,1.0
gas-CT_aero,n,1.0
gas-CC,o,0.996
gas-CC,r,1.0
gas-CC,d,1.021
gas-CC,p,0.996
gas-CC_h_1x1,o,0.996
gas-CC_h_1x1,r,1.0
gas-CC_h_1x1,d,1.021
gas-CC_h_1x1,p,0.996
gas-CC_h_2x1,o,0.996
gas-CC_h_2x1,r,1.0
gas-CC_h_2x1,d,1.021
gas-CC_h_2x1,p,0.996
Gas-CC-CCS_mod,o,0.977
Gas-CC-CCS_mod,r,1.0
Gas-CC-CCS_mod,d,1.107
Gas-CC-CCS_max,o,0.977
Gas-CC-CCS_max,r,1.0
Gas-CC-CCS_max,d,1.107
Gas-CC_H_1x1-CCS_mod,o,0.977
Gas-CC_H_1x1-CCS_mod,r,1.0
Gas-CC_H_1x1-CCS_mod,d,1.107
Gas-CC_H_1x1-CCS_max,o,0.977
Gas-CC_H_1x1-CCS_max,r,1.0
Gas-CC_H_1x1-CCS_max,d,1.107
Gas-CC_H_2x1-CCS_mod,o,0.977
Gas-CC_H_2x1-CCS_mod,r,1.0
Gas-CC_H_2x1-CCS_mod,d,1.107
Gas-CC_H_2x1-CCS_max,o,0.977
Gas-CC_H_2x1-CCS_max,r,1.0
Gas-CC_H_2x1-CCS_max,d,1.107
Gas-CC-CCS-F1,o,0.977
Gas-CC-CCS-F1,r,1.0
Gas-CC-CCS-F1,d,1.107
Gas-CC-CCS-F2,o,0.977
Gas-CC-CCS-F2,r,1.0
Gas-CC-CCS-F2,d,1.107
Gas-CC-CCS-F3,o,0.977
Gas-CC-CCS-F3,r,1.0
Gas-CC-CCS-F3,d,1.107
CoalOldScr,o,0.989
CoalOldScr,r,1.0
CoalOldScr,d,1.051
CoalOldScr,p,0.989
CoalOldUns,o,0.989
CoalOldUns,r,1.0
CoalOldUns,d,1.051
CoalOldUns,p,0.989
coal-new,o,0.989
coal-new,r,1.0
coal-new,d,1.051
coal-new,p,0.989
coal-IGCC,o,0.996
coal-IGCC,r,1.0
coal-IGCC,d,1.021
coal-IGCC,p,0.996
coal-CCS_mod,o,0.993
coal-CCS_mod,r,1.0
coal-CCS_mod,d,1.034
coal-CCS_max,o,0.993
coal-CCS_max,r,1.0
coal-CCS_max,d,1.034
coal-CCS-F1,o,0.993
coal-CCS-F1,r,1.0
coal-CCS-F1,d,1.034
coal-CCS-F2,o,0.993
coal-CCS-F2,r,1.0
coal-CCS-F2,d,1.034
coal-CCS-F3,o,0.993
coal-CCS-F3,r,1.0
coal-CCS-F3,d,1.034
o-g-s,o,0.989
o-g-s,r,1.0
o-g-s,d,1.051
o-g-s,p,0.989
o-g-s,n,1.0
nuclear,o,0.989
nuclear,r,1.0
nuclear,d,1.051
nuclear,p,0.989
nuclear-SMR,o,0.989
nuclear-SMR,r,1.0
nuclear-SMR,d,1.051
nuclear-SMR,p,0.989
geothermal,n,1.0
biopower,o,0.989
biopower,r,1.0
biopower,d,1.051
biopower,p,0.989
beccs_mod,o,0.989
beccs_mod,r,1.0
beccs_mod,d,1.051
beccs_mod,p,0.989
beccs_max,o,0.989
beccs_max,r,1.0
beccs_max,d,1.051
beccs_max,p,0.989
CofireOld,o,0.989
CofireOld,r,1.0
CofireOld,d,1.051
CofireOld,p,0.989
CofireNew,o,0.989
CofireNew,r,1.0
CofireNew,d,1.051
CofireNew,p,0.989
lfill-gas,n,1.0
distpv,n,1.0
csp1_1,o,0.905
csp1_1,r,0.952
csp1_1,d,1.0
