i,ctt,fraction
Hydro,n,1.0
gas-CT,n,1.0
gas-CT_aero,n,1.0
gas-CC,o,0.978
gas-CC,r,1.0
gas-CC,d,1.102
gas-CC,p,0.978
gas-CC_h_1x1,o,0.978
gas-CC_h_1x1,r,1.0
gas-CC_h_1x1,d,1.102
gas-CC_h_1x1,p,0.978
gas-CC_h_2x1,o,0.978
gas-CC_h_2x1,r,1.0
gas-CC_h_2x1,d,1.102
gas-CC_h_2x1,p,0.978
Gas-CC-CCS_mod,o,0.981
Gas-CC-CCS_mod,r,1.0
Gas-CC-CCS_mod,d,1.075
Gas-CC-CCS_max,o,0.981
Gas-CC-CCS_max,r,1.0
Gas-CC-CCS_max,d,1.075
Gas-CC_H_1x1-CCS_mod,o,0.981
Gas-CC_H_1x1-CCS_mod,r,1.0
Gas-CC_H_1x1-CCS_mod,d,1.075
Gas-CC_H_1x1-CCS_max,o,0.981
Gas-CC_H_1x1-CCS_max,r,1.0
Gas-CC_H_1x1-CCS_max,d,1.075
Gas-CC_H_2x1-CCS_mod,o,0.981
Gas-CC_H_2x1-CCS_mod,r,1.0
Gas-CC_H_2x1-CCS_mod,d,1.075
Gas-CC_H_2x1-CCS_max,o,0.981
Gas-CC_H_2x1-CCS_max,r,1.0
Gas-CC_H_2x1-CCS_max,d,1.075
Gas-CC-CCS-F1,o,0.981
Gas-CC-CCS-F1,r,1.0
Gas-CC-CCS-F1,d,1.075
Gas-CC-CCS-F2,o,0.981
Gas-CC-CCS-F2,r,1.0
Gas-CC-CCS-F2,d,1.075
Gas-CC-CCS-F3,o,0.981
Gas-CC-CCS-F3,r,1.0
Gas-CC-CCS-F3,d,1.075
CoalOldScr,o,0.981
CoalOldScr,r,1.0
CoalOldScr,d,1.045
CoalOldScr,p,0.981
CoalOldUns,o,0.981
CoalOldUns,r,1.0
CoalOldUns,d,1.045
CoalOldUns,p,0.981
coal-new,o,0.981
coal-new,r,1.0
coal-new,d,1.045
coal-new,p,0.981
coal-IGCC,o,0.988
coal-IGCC,r,1.0
coal-IGCC,d,1.033
coal-IGCC,p,0.988
coal-CCS_mod,o,0.982
coal-CCS_mod,r,1.0
coal-CCS_mod,d,1.031
coal-CCS_max,o,0.982
coal-CCS_max,r,1.0
coal-CCS_max,d,1.031
coal-CCS-F1,o,0.982
coal-CCS-F1,r,1.0
coal-CCS-F1,d,1.031
coal-CCS-F2,o,0.982
coal-CCS-F2,r,1.0
coal-CCS-F2,d,1.031
coal-CCS-F3,o,0.982
coal-CCS-F3,r,1.0
coal-CCS-F3,d,1.031
o-g-s,o,0.981
o-g-s,r,1.0
o-g-s,d,1.045
o-g-s,p,0.981
o-g-s,n,1.0
nuclear,o,0.981
nuclear,r,1.0
nuclear,d,1.045
nuclear,p,0.981
nuclear-SMR,o,0.981
nuclear-SMR,r,1.0
nuclear-SMR,d,1.045
nuclear-SMR,p,0.981
geothermal,n,1.0
biopower,o,0.981
biopower,r,1.0
biopower,d,1.045
biopower,p,0.981
beccs_mod,o,0.981
beccs_mod,r,1.0
beccs_mod,d,1.045
beccs_mod,p,0.981
beccs_max,o,0.981
beccs_max,r,1.0
beccs_max,d,1.045
beccs_max,p,0.981
CofireOld,o,0.981
CofireOld,r,1.0
CofireOld,d,1.045
CofireOld,p,0.981
CofireNew,o,0.981
CofireNew,r,1.0
CofireNew,d,1.045
CofireNew,p,0.981
lfill-gas,n,1.0
distpv,n,1.0
